,Word,Counts
1674,laws,8
1675,long,154
1676,sporting,2
1677,how,338
1678,Lest,31
1679,lightly,6
1680,lien,3
1681,guiltiness,1
1682,charged,49
1683,toucheth,38
1684,sowed,7
1685,received,143
1686,hundredfold,1
1687,forward,16
1688,store,15
1689,envied,6
1690,wells,9
1691,mightier,13
1692,Isaacs,0
1693,springing,5
1694,ours,1
1695,Esek,0
1696,strove,10
1697,Sitnah,0
1698,Ahuzzath,1
1699,friends,20
1700,army,42
1701,touched,44
1702,betimes,2
1703,Shebah,0
1704,Judith,1
1705,Beeri,1
1706,Bashemath,6
1707,Elon,3
1708,Which,126
1709,grief,11
1710,dim,2
1711,weapons,17
1712,quiver,7
1713,savory,6
1714,love,208
1715,hunt,10
1716,obey,56
1717,kids,5
1718,goats,39
1719,loveth,51
1720,smooth,5
1721,peradventure,21
1722,feel,7
1723,seem,21
1724,deceiver,3
1725,Upon,18
1726,goodly,32
1727,neck,18
1728,badest,1
1729,arise,28
1730,sit,93
1731,How,174
1732,felt,4
1733,Jacobs,0
